id,key,value,type
202844015,highway,turning_circle,regular
202844015,source,Bing,regular
202862496,highway,turning_circle,regular
202862496,source,Bing,regular
202954709,highway,traffic_signals,regular
203054473,highway,turning_circle,regular
203054473,source,Bing,regular
203088167,highway,turning_circle,regular
203088167,source,Bing,regular
332432372,created_by,Merkaartor 0.12,regular
355837055,power,tower,regular
356860990,amenity,school,regular
356860990,ele,300,regular
356860990,county_id,089,gnis
356860990,created,10/01/1989,gnis
356860990,feature_id,1318723,gnis
356860990,state_id,47,gnis
356860990,name,Rolling Hill School (historical),regular
705265648,highway,motorway_junction,regular
705265648,ref,1B,regular
1241300150,power,tower,regular
1242409304,power,tower,regular
1254063252,power,pole,regular
1990876764,power,tower,regular
1991358425,power,pole,regular
1991547820,power,pole,regular
1993455001,power,pole,regular
1993762747,power,tower,regular
2183447048,power,pole,regular
3877254365,railway,level_crossing,regular
4612538588,highway,turning_circle,regular
4926018930,city,Clinton,addr
4926018930,housenumber,125,addr
4926018930,postcode,37716,addr
4926018930,state,TN,addr
4926018930,street,West Broad Street,addr
4926018930,amenity,police,regular
4926018930,name,City of Clinton Police Headquarters,regular
4931727777,entrance,yes,regular
