id,node_id,position
19373734,5965922659,0
19373734,5965922660,1
19373734,5965922661,2
19373734,5965922662,3
19373734,5965922663,4
19373734,5965922664,5
19373734,5965922665,6
19373734,201432279,7
19373734,5965922666,8
19373734,1846740202,9
19373734,5965922667,10
19373734,1846740203,11
19373734,5965922658,12
19373734,201432286,13
19379690,201453777,0
19379690,201511514,1
19379690,201511515,2
19379690,201511519,3
19379690,4603901809,4
19379690,4603901810,5
19379690,4603901811,6
19379690,4603901812,7
19379690,4603901813,8
19379690,4603901814,9
19379690,4603901815,10
19379690,4603901816,11
19379690,4603901817,12
19379690,4603901818,13
19379690,4603901819,14
19379690,4603901820,15
19379690,4603901821,16
19411798,201799463,0
19411798,2910291307,1
19411798,2910291321,2
19411798,2910291338,3
19411798,201863837,4
19411798,201863841,5
19411798,2910291378,6
19411798,2910291384,7
19411798,201863843,8
19411798,201863847,9
19411798,2910291537,10
19411798,201863849,11
19411798,201863853,12
19517818,202795712,0
19517818,202795715,1
19517818,202795717,2
19517818,202795720,3
19517818,202795722,4
19517818,202795724,5
19517818,202795728,6
19517818,202795732,7
19517818,202795734,8
19517818,202795736,9
19521523,202823181,0
19521523,202823183,1
19524865,202851997,0
19524865,202852000,1
19528203,202882536,0
19528203,202882539,1
19528203,202882542,2
19528203,202882544,3
19528203,202882546,4
19528203,202882548,5
19528203,202882552,6
19528203,2488467582,7
19528203,202882556,8
19528203,202836537,9
19528203,202882576,10
19531411,202911396,0
19531411,202911411,1
19531411,202911423,2
19534442,202861669,0
19534442,2515615018,1
19534442,2515615019,2
19534442,2131796068,3
19534442,2131796066,4
19534442,202921008,5
19537956,202966384,0
19537956,4626935158,1
19537956,202920352,2
19537956,202966386,3
19537956,202898711,4
19537956,202966388,5
19537956,202966390,6
19537956,4626935157,7
19537956,202966391,8
19537956,4626935156,9
19537956,202966392,10
19541970,202864510,0
19541970,203008672,1
19541970,203008678,2
19545164,202870852,0
19545164,2378169093,1
19545164,203045486,2
19548343,203076351,0
19548343,202882043,1
19548343,202970576,2
19548343,202871165,3
19552556,202888669,0
19552556,1991544981,1
19552556,1991544873,2
19552556,1991544814,3
19552556,1991544807,4
19552556,1991544798,5
19552556,1991544791,6
19552556,1991544779,7
19552556,203101216,8
19607221,203616822,0
19607221,203616825,1
19607221,203616831,2
19625400,203749196,0
19625400,203758144,1
19625400,203758145,2
19625400,203721008,3
19625400,203720990,4
19625400,203694731,5
19625400,203758146,6
19625400,203694701,7
19625400,203758154,8
19625400,203758158,9
19625400,203758161,10
39088448,467084408,0
39088448,467084409,1
39088448,467084411,2
39088448,467084412,3
39088448,467084413,4
39088448,467084414,5
39088448,203063711,6
39088448,467084416,7
39088448,467084418,8
39088448,467084419,9
39088448,467084420,10
39088448,467084421,11
39088448,467084422,12
39088448,467084423,13
39088448,467084425,14
39088448,467084426,15
39088448,467084427,16
39088448,467084428,17
39088448,467084430,18
39088448,467084431,19
39088448,467084432,20
39088448,467084408,21
56216188,705476787,0
56216188,705476789,1
109699356,1255188398,0
109699356,1255188392,1
109699356,1255188377,2
109699356,1255188394,3
109699356,1255188418,4
109699356,1255188337,5
109699356,1255188290,6
109699356,1255188303,7
109699356,1255188346,8
109699356,1255188345,9
109699356,1255188248,10
109699356,1255188419,11
109699356,1255188442,12
109699356,1255188398,13
173031430,1838590804,0
173031430,203800754,1
173031430,203800758,2
173031430,203800764,3
173031430,203800768,4
173031430,203800772,5
173031430,203800775,6
173031430,203800779,7
173031430,203800783,8
173031430,203800789,9
173031430,203800792,10
173031430,203800796,11
173031430,203800810,12
173031430,203800813,13
173031430,203800764,14
187711519,1983411269,0
187711519,1983411268,1
187711519,1983411267,2
228614626,2372775120,0
228614626,2372775117,1
228614626,5951532948,2
228614626,5951532949,3
228614626,2372775111,4
228614626,2372775109,5
228614626,2372775108,6
228614626,2372775106,7
228614626,2372775103,8
228614626,2372775098,9
228614626,2372775092,10
244223753,2515615014,0
244223753,2515615013,1
244223753,2515615010,2
244223753,2515615007,3
244223753,2515615005,4
244223753,2515615000,5
244223753,2515614979,6
244223753,2515614936,7
244223753,2515614889,8
244223753,2515614836,9
244223753,2515614787,10
244223753,2515614776,11
244223753,2515614738,12
244223753,2515614728,13
268690274,2740229824,0
268690274,2740229820,1
268690274,2740229816,2
268690274,2910317948,3
268690274,2740229815,4
293466699,2970629347,0
293466699,2970629344,1
293466699,2970629338,2
293466699,2970629130,3
293466699,2970629126,4
293466699,2970629121,5
293466699,2970629119,6
293466699,2970629117,7
297473003,3013659149,0
297473003,3013659150,1
297473003,3013659153,2
297473003,3013659157,3
297473003,3013659160,4
297473003,3013659162,5
297473003,3013659165,6
297473003,3013659167,7
297473003,3013659164,8
297473003,3013659166,9
297473003,3013659163,10
297473003,3013659161,11
297473003,3013659159,12
297473003,3013659158,13
297473003,3013659156,14
297473003,3013659155,15
297473003,3013659152,16
297473003,3013659151,17
297473003,3013659149,18
322042421,3288031468,0
322042421,203699889,1
322042421,203715798,2
322042421,203715799,3
322042421,203715801,4
322042421,203715802,5
322042421,2903352003,6
322042421,203715804,7
322042421,2902255377,8
322042421,203715807,9
322042421,203715810,10
322042421,203592708,11
322042421,2902255360,12
322042421,203715812,13
322042421,203715815,14
322042421,3288031391,15
322042421,3288031384,16
322042421,203715819,17
322042421,203715823,18
322042421,3288031373,19
322042421,203715825,20
322042421,3288031260,21
322042421,203712709,22
322042421,203715835,23
322042421,3288031243,24
322042421,203715841,25
322042421,203715844,26
322042421,203715847,27
322042421,203715849,28
322042421,203715600,29
322042421,203715853,30
322042421,203715856,31
322042421,203662176,32
322042421,203715860,33
322042421,3288031190,34
322042421,3288031186,35
322042421,3288031185,36
322042421,203688769,37
322042421,3288031184,38
322042421,3288031183,39
322042421,203670581,40
322042421,2178316845,41
322042421,203625954,42
322042421,203715863,43
322042421,203715866,44
322042421,203591804,45
322042421,2902254627,46
322042421,203657499,47
322042421,203715869,48
322042421,203715872,49
322042421,203715874,50
322042421,2178316808,51
322042421,203657448,52
322042421,203715878,53
322042421,203715881,54
322042421,203715885,55
322042421,2178316756,56
322042421,203657508,57
322042421,2178316751,58
322042421,2902253942,59
322042421,203715888,60
322042421,203715891,61
322042421,203715895,62
322042421,2902253929,63
322042421,2902253927,64
322042421,2902253925,65
322042421,203666655,66
322042421,203715898,67
322042421,203715902,68
322042421,203675924,69
322042421,2902253912,70
322042421,2902253911,71
322042421,2902253906,72
322042421,2178316744,73
322042421,203715906,74
322042421,203715908,75
322042421,2902253589,76
322042421,203696157,77
322042421,203646597,78
322042421,203715910,79
322042421,203715914,80
322042421,203646648,81
322042421,203715919,82
322042421,203715921,83
322042421,203715924,84
322042421,203715926,85
322042421,203646096,86
322042421,2178339061,87
322042421,2178339057,88
322042421,203715930,89
322042421,2178339053,90
322042421,2902253535,91
322042421,2178339050,92
322042421,2178339049,93
322042421,203715933,94
322042421,203715937,95
322042421,203715940,96
322042421,203715942,97
322042421,203715945,98
322042421,203715950,99
322042421,203715953,100
322042421,203715955,101
322042421,2763297402,102
322042421,203715956,103
322042421,2763297390,104
322042421,203715959,105
322042421,203715962,106
322042421,203640259,107
322042421,203636462,108
322042421,2902253225,109
322042421,203715965,110
322042421,2902253224,111
322042421,203715969,112
322042421,2902253222,113
322042421,203715972,114
322042421,2763297363,115
322042421,203653381,116
322042421,203715975,117
322042421,203715977,118
322042421,203632481,119
322042421,203594700,120
322042421,2763297279,121
322042421,203602556,122
322042421,203715980,123
322042421,203715981,124
322042421,2763297257,125
322042421,203715983,126
322042421,4377714160,127
322042421,2763297235,128
322042421,203715985,129
322042421,203715988,130
322042421,203715991,131
322042421,203715994,132
322042421,2763297118,133
322042421,203715997,134
322042421,203715999,135
322042421,203716001,136
322042421,2763297089,137
322042421,203716002,138
322042421,203709862,139
322042421,203716004,140
322042421,2763297019,141
322042421,2763297010,142
322042421,2763297003,143
322042421,203604541,144
322042421,203716006,145
322042421,203716007,146
322042421,203625242,147
322042421,203716009,148
322042421,203716012,149
322042421,203716015,150
322042421,2763296902,151
322042421,2922879036,152
322042421,203716018,153
322042421,2922879026,154
322042421,203635524,155
322042421,203716022,156
322042421,203625457,157
322042421,203716025,158
322042421,203716030,159
322042421,2922908449,160
322042421,203692667,161
332033937,3391371954,0
332033937,3391371932,1
332033937,3391371939,2
332033937,3391371953,3
332033937,3391371951,4
332033937,3391371962,5
332033937,3391371954,6
356102895,3616076575,0
356102895,3616076569,1
356102895,3616076568,2
356102895,3616076561,3
356102895,3616076560,4
356102895,3616076558,5
356102895,3616076556,6
356102895,3616076553,7
356102895,3616076550,8
356102895,3616076546,9
356102895,3616076543,10
356102895,3616076531,11
356102895,3616076528,12
356102895,3616076526,13
356102895,3616076522,14
356102895,3616076513,15
356102895,3616076503,16
356102895,3616076502,17
356102895,3616076501,18
356102895,3616076500,19
356102895,3616076504,20
356102895,3616076506,21
356102895,3616076505,22
356102895,3616076507,23
356102895,4858745515,24
356102895,3616076510,25
356102895,3616076511,26
356102895,3616076509,27
356102895,3616076508,28
356102895,3616076512,29
356102895,3616076514,30
356102895,3616076516,31
356102895,3616076523,32
356102895,3616076525,33
356102895,3616076529,34
356102895,3616076532,35
356102895,3616076535,36
356102895,3616076538,37
356102895,3616076537,38
356102895,3616076534,39
356102895,3616076536,40
356102895,3616076539,41
356102895,3616076541,42
356102895,3616076545,43
356102895,3616076547,44
356102895,3616076551,45
356102895,3616076555,46
356102895,3616076564,47
356102895,3616076574,48
356102895,3616076579,49
356102895,3616076697,50
356102895,3616076703,51
356102895,3616076706,52
356102895,3616076709,53
356102895,3616076710,54
356102895,3616076713,55
356102895,3616076716,56
356102895,3616076719,57
356102895,3616076722,58
356102895,3616076728,59
356102895,3616076729,60
356102895,3616076730,61
356102895,3616076731,62
356102895,3616076732,63
356102895,3616076733,64
356102895,3616076734,65
356102895,3616076735,66
356102895,3616076736,67
356102895,3616076737,68
356102895,3616076738,69
384407842,3877044829,0
384407842,3877044830,1
429211388,2919114771,0
429211388,2919114770,1
429211388,202910220,2
465036107,4600631992,0
465036107,4600631991,1
465036107,4600631990,2
465036107,4600631989,3
465036107,4600631288,4
465036107,4600631287,5
465036107,4600631286,6
475568712,4693084633,0
475568712,4693084639,1
475568712,4693084640,2
475568712,4693084634,3
475568712,4693084633,4
492224587,4842771244,0
492224587,4842771245,1
492224587,4842771246,2
492224587,4842771247,3
492224587,4842771248,4
492224587,4842771249,5
492224587,4842771250,6
492224587,4842771251,7
492224587,4842771244,8
508789895,203032435,0
508789895,203032440,1
508789895,203003906,2
509888705,4990220657,0
509888705,4990220656,1
509888705,4990220655,2
509888705,4990220654,3
509888705,4990220657,4
546460732,5280965381,0
546460732,5280965382,1
546460732,5280965383,2
546460732,5280965384,3
546460732,5280965385,4
546460732,5280965386,5
546460732,5280965387,6
